Season,Age,3P,TRB,AST,STL,BLK,PTS,eFG%
2014-15,26.7,0.65,3.6083333333,1.8333333333,0.6416666667,0.4,8.3333333333,0.496
2013-14,26.5,0.6416666667,3.5583333333,1.8333333333,0.6416666667,0.3916666667,8.4166666667,0.501
2012-13,26.7,0.6,3.5083333333,1.8416666667,0.65,0.425,8.175,0.496
2011-12,26.6,0.5333333333,3.5166666667,1.75,0.6416666667,0.425,8.025,0.487
2010-11,26.6,0.5416666667,3.45,1.7916666667,0.6083333333,0.4083333333,8.3,0.498
2009-10,26.6,0.5333333333,3.475,1.7666666667,0.6,0.4083333333,8.3666666667,0.501
2008-09,26.6,0.55,3.4416666667,1.75,0.6083333333,0.4,8.3333333333,0.5
2007-08,26.8,0.55,3.5,1.8166666667,0.6083333333,0.3916666667,8.325,0.497
2006-07,26.6,0.5083333333,3.425,1.775,0.6,0.3833333333,8.225,0.496
2005-06,26.5,0.475,3.4166666667,1.7166666667,0.6,0.3916666667,8.0833333333,0.49
2004-05,26.9,0.4666666667,3.4916666667,1.775,0.625,0.4083333333,8.1,0.482
2003-04,27,0.4333333333,3.5166666667,1.775,0.6583333333,0.425,7.7833333333,0.471
2002-03,27.2,0.425,3.525,1.7916666667,0.6583333333,0.4166666667,7.925,0.474
2001-02,27.4,0.4333333333,3.5333333333,1.825,0.65,0.4333333333,7.9583333333,0.477
2000-01,27.7,0.4,3.5416666667,1.8166666667,0.65,0.4416666667,7.9,0.473
1999-00,27.8,0.4,3.575,1.8583333333,0.6583333333,0.4333333333,8.125,0.478
