Year,W,ERA,CG,SHO,IP,SO,WHIP,R,H,HR,RBI,SB,BA,SLG
2015,10.125,3.96,0.4333333333,0.2125,180.8633333333,156.025,1.294,62.5666666667,127.5939393939,14.8757575758,59.5454545455,7.5909090909,0.254,0.405
2014,10.125,3.74,0.4916666667,0.2708333333,181.7216666667,156.0041666667,1.275,59.8818181818,126.0454545455,12.6848484848,56.803030303,8.3757575758,0.251,0.386
2013,10.125,3.87,0.5166666667,0.2375,181.8879166667,152.9583333333,1.3,61.3787878788,127.5545454545,14.1242424242,58.396969697,8.1606060606,0.253,0.396
2012,10.125,4.01,0.5333333333,0.2875,180.64625,151.775,1.309,63.6878787879,127.4636363636,14.9515151515,60.6,9.7848484848,0.255,0.405
2011,10.125,3.94,0.7208333333,0.3125,181.3629166667,143.7,1.316,63.0545454545,128.0818181818,13.7939393939,60.0121212121,9.9363636364,0.255,0.399
2010,10.125,4.08,0.6875,0.2458333333,180.4379166667,142.9416666667,1.347,64.5696969697,128.9515151515,13.9787878788,61.4787878788,8.9666666667,0.257,0.403
2009,10.125,4.32,0.6333333333,0.2625,180.3,139.9625,1.39,67.9363636364,131.8909090909,15.2787878788,64.7393939394,9,0.262,0.418
2008,10.125,4.32,0.5666666667,0.225,180.655,137.0166666667,1.391,68.4393939394,133.2484848485,14.7818181818,65.2757575758,8.4818181818,0.264,0.416
2007,10.125,4.47,0.4666666667,0.1791666667,180.9383333333,134.1208333333,1.406,70.6727272727,136.2939393939,15.0212121212,67.4454545455,8.8424242424,0.268,0.423
2006,10.125,4.53,0.6,0.2625,180.2416666667,131.8958333333,1.408,71.5121212121,136.5848484848,16.3212121212,68.1545454545,8.3848484848,0.269,0.432
2005,10.125,4.29,0.7875,0.2625,180.13375,127.6833333333,1.369,67.6515151515,133.3060606061,15.203030303,64.3878787879,7.7727272727,0.264,0.419
2004,10.125,4.46,0.625,0.2875,180.8083333333,132.6166666667,1.4,70.8363636364,134.9151515152,16.5181818182,67.4181818182,7.8454545455,0.266,0.428
2003,10.125,4.4,0.8708333333,0.3,180.5629166667,128.3375,1.383,69.6303030303,133.5060606061,15.7787878788,66.3212121212,7.796969697,0.264,0.422
2002,10.125,4.28,0.8916666667,0.3625,180.2875,130.8083333333,1.376,67.903030303,131.1272727273,15.3303030303,64.6424242424,8.3333333333,0.261,0.417
2001,10.125,4.42,0.8291666667,0.3083333333,180.3629166667,135.0166666667,1.379,70.3,132.9666666667,16.5393939394,66.9333333333,9.403030303,0.264,0.427
2000,10.125,4.77,0.975,0.3,180.18375,130.65,1.468,75.6696969697,137.1090909091,17.2515151515,71.9242424242,8.8606060606,0.27,0.437
